name,price,category,
Other book/comic IP ,50,Pre-existing Intellectual Property,"{'name':'Other book/comic IP ', 'price':50},"
IP miscellany ,50,Pre-existing Intellectual Property,"{'name':'IP miscellany ', 'price':50},"
,,,
"Off-the-board actor (e.g., Denzel Washington, Meryl Streep, etc.) ",150,Misc,"{'name':'Off-the-board actor (e.g., Denzel Washington, Meryl Streep, etc.) ', 'price':150},"
Name director ,80,Misc,"{'name':'Name director ', 'price':80},"
Name director (pilot-only),5,Misc,"{'name':'Name director (pilot-only)', 'price':5},"
Name writer ,60,Misc,"{'name':'Name writer ', 'price':60},"
Live musical performances ,20,Misc,"{'name':'Live musical performances ', 'price':20},"
Professional sports league licensing ,30,Misc,"{'name':'Professional sports league licensing ', 'price':30},"
Soundtrack/music licensing (75 million units sold club) ,75,Misc,"{'name':'Soundtrack/music licensing (75 million units sold club) ', 'price':75},"
Soundtrack/music licensing (other),35,Misc,"{'name':'Soundtrack/music licensing (other)', 'price':35},"
Based on a true story ,19,Misc,"{'name':'Based on a true story ', 'price':19},"
Title with pun in it ($7 per pun),7,Misc,"{'name':'Title with pun in it ($7 per pun)', 'price':7},"
Star plays themselves ,14,Misc,"{'name':'Star plays themselves ', 'price':14},"
Stand-up comedy cold open ,3,Misc,"{'name':'Stand-up comedy cold open ', 'price':3},"
Is your show about the mob? You’re paying protection ,25,Misc,"{'name':'Is your show about the mob? You’re paying protection ', 'price':25},"
No one in cast will ever ask to direct episodes ,4,Misc,"{'name':'No one in cast will ever ask to direct episodes ', 'price':4},"
“Gritty” ,12,Misc,"{'name':'“Gritty” ', 'price':12},"
Character receives the newspaper a day early ,6,Misc,"{'name':'Character receives the newspaper a day early ', 'price':6},"
